,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
58,new,Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)+2 locations",N/A,"2+ years of software development experience.
Rapidly troubleshoot and solve problems with existing software systems.",Posted3 days ago,2022-05-05
59,Software Engineer,Resideo,"Melville, NY 11747",N/A,"1+ year object-oriented design and coding skills.
Maintain and enhance our customer facing web portal.
Maintain and enhance existing back-end services / API(s)…",Posted8 days ago,2022-05-05
60,"Software Engineer, I",Zebra Technologies,"Holtsville, NY 11742+3 locations",N/A,"The position includes collaborating with engineers and customers world-wide.
Design and develop software for customized hardware products running Android.",Posted29 days ago,2022-05-05
61,new,"JPMorgan Chase Bank, N.A.","New York, NY+9 locations",N/A,"Understanding of software skills such as business analysis, development, maintenance, and software improvement.
BS/BA degree or equivalent experience.",Posted8 days ago,2022-05-05
62,Software Engineer,DataDog,"New York, NY+5 locations",Estimated $122K - $154K a year,"Students can sign up anytime for a free Datadog Pro account!
Whether you are writing a new integration, building data pipelines, or working with the open source…",Posted30+ days ago,2022-05-05
63,Software Engineers & Programmers,"Decilog, Inc.","Melville, NY 11747",Estimated $86.6K - $110K a year,"Requirements: software design; experience with software languages (Java, C++, C#, Ada, Delphi, etc.).
Ability to obtain security clearance is REQUIRED.",Posted30+ days ago,2022-05-05
64,new,Square,"New York, NY+1 location",N/A,5+ years of software engineering experience developing scalable production software and an excellent command of engineering fundamentals.,PostedJust posted,2022-05-05
65,new,EagleView Technologies,"Rochester, NY 14623+1 location",Estimated $82.5K - $104K a year,"As a member, you will participate in all aspects of the software development life cycle: scoping, design, coding, reviewing, testing, implementation, and…",Posted5 days ago,2022-05-05
66,Software Engineer II,Disney Media & Entertainment Distribution,"New York, NY+5 locations",N/A,"Experience in backend server-side development.
Knowledge of at least one object-oriented language.
Implement asynchronous processes to run in the cloud for…",Posted30+ days ago,2022-05-05
67,"Software Engineer, Backend Product",Etsy,"Remote in Brooklyn, NY 11201+10 locations",Estimated $103K - $131K a year,"The teams under Visual Discovery are a cross-functional product development team consisting of engineers, product managers, designers, product marketers, data…",Posted28 days ago,2022-05-05
68,Sr. Software Engineer,Tomorrow Health,"Remote in New York, NY",Estimated $138K - $175K a year,"You will help mentor junior engineers through feedback and code review.
You have 5+ years of industry experience in a software engineering role.",Posted30+ days ago,2022-05-05
69,Software Engineer - Java/J2EE,"JPMorgan Chase Bank, N.A.","New York, NY+12 locations",N/A,"Object oriented analysis and design using common design patterns.
Any experience async communication with Tibco, MQ and other cloud technologies is a plus.",Posted10 days ago,2022-05-05
70,new,"JPMorgan Chase Bank, N.A.","New York, NY+11 locations",N/A,"Design and Development of Resilient and scalable software solutions for Hybrid environments (Private cloud, Public cloud, On-Premises, Mobile, Desktop).",PostedJust posted,2022-05-05
71,Software Engineer,Droit,"New York, NY 10001 (Chelsea area)",Estimated $117K - $149K a year,They don’t just write and review code - engineers are responsible for architecting and designing the infrastructure involved with any given project/deliverable…,Posted30+ days ago,2022-05-05
72,Software Engineer (Multiple Levels),T. Rowe Price,"New York, NY",N/A,"In-depth knowledge of software design patterns.
Competitive pay and bonuses as well as a generous retirement plan and employee stock purchase plan with matching…",Posted30+ days ago,2022-05-05
73,new,American Eagle Outfitters,"New York, NY",N/A,"Identify technical impact of proposed application development/enhancement projects and coordinate with IT colleagues.
Development experience with MVC, ASP.",PostedToday,2022-05-05
74,"Software Engineer, Fullstack",Go2Andaman,"New York, NY",Estimated $117K - $149K a year,Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application…,Posted30 days ago,2022-05-05
75,new,Cash App,"Remote in New York, NY+10 locations",Estimated $133K - $169K a year,"Own features throughout their life cycle, from inception to supporting production.
With Cash App, anyone can easily send, spend, or invest their money in stocks…",Posted4 days ago,2022-05-05
76,Software Engineer Asc - Entry Level,LOCKHEED MARTIN CORPORATION,"Owego, NY 13827+13 locations",N/A,"Embedded avionics and/or mission software applications.
Familiarity with object-oriented analysis/design and agile development is beneficial.",Posted30+ days ago,2022-05-05
77,Software Engineer I - CONTRACT PENDING,Covey Computer Software,"Utica, NY 13501",Estimated $79.1K - $100K a year,"Eligible and willing to hold a Secret security clearance.
Bachelor's degree or equivalent in Computer Science or 2 years of experience with AS in the job…",Posted30+ days ago,2022-05-05
78,new,AT&T,"New York, NY+9 locations",N/A,"Analyze and improve our software development life cycle processes to build data pipelines.
Experience working with Big Data, machine learning systems;…",Posted4 days ago,2022-05-05
79,Senior Software Engineer,DataDog,"Remote in New York, NY+1 location",N/A,"A seasoned engineer with 5+ years of software development experience.
Design and implement new solutions that will help every Datadog engineer collaborate and…",Posted30+ days ago,2022-05-05
80,Software Engineer,"Biodex Medical Systems, Inc.","Shirley, NY 11967",Estimated $86.8K - $110K a year,"This will include maintenance of existing software.
Responsible for all phases of application software development from the initial concept through…",Posted30+ days ago,2022-05-05
81,Software Engineer,"Security Industry Specialists, Inc.","New York, NY 10012 (SoHo area)",N/A,"A CS degree or equivalent, with 2+ years’ experience in software development.
Jasmine or Mocha (or similar testing framework).
$90,000 +/year salary (DOE).",Posted30+ days ago,2022-05-05
82,"Backend Software Engineer, MediaGuard",Human Security,"Remote in New York, NY",Estimated $124K - $156K a year,"Profile, debug, optimize and harden Linux-based software.
You’re either comfortable in Go codebases or open to learning the language given your depth of…",Posted30+ days ago,2022-05-05
83,Software Test Engineer (entry-level),Real-Time Technology Solutions,"Remote in New York, NY",N/A,"Ongoing development of your skills working with QA/test automation/programming technologies, server-side software and database platforms.",Posted19 days ago,2022-05-05
84,Roku Software Development Engineer,Fox Corporation,"New York, NY",N/A,"Experience in ensuring apps meet requirements for Roku certification.
You will be part of a new team with full permission to reinvent, disrupt, and build in a…",Posted14 days ago,2022-05-05
85,new,Accenture,"New York, NY",N/A,"Minimum 5 years’ of experience in a relevant discipline including UX design in immersive experiences, content creation across 2D and 3D workflows, XR, etc.",Posted7 days ago,2022-05-05
86,"Experienced Web Engineer, Podcast Creation Tools",Spotify,"Remote in New York, NY+4 locations",N/A,"You have a passion for great, responsive web design.
You work well with cross-functional, agile software development teams.",Posted30+ days ago,2022-05-05
