,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
137,Lead UX Researcher,Panorama Education,"Temporarily Remote in New York, NY",N/A,"Work alongside our Product Design, Product Management, and Research/Data Science teams to drive highly actionable and meaningful research insights to inform…",Posted30+ days ago,2022-05-05
138,"Director, User Research",Circle,"Remote in New York, NY",N/A,"Research mentorship and guidance for fellow researchers, designers, and product management peers.
Grow and develop your team of user researchers and coach and…",Posted30+ days ago,2022-05-05
139,"Associate Director, User Research",Code and Theory,"Remote in New York, NY",N/A,"As Associate Director of Research, your typical workday may go from surveys to interviews, usability testing, competitive analysis and concept testing.",Posted30+ days ago,2022-05-05
140,UX / UI Senior Manager,Rent the Runway,"Hybrid remote in New York, NY 10014",N/A,We're strategic thinkers and problem solvers who are always searching for ways to enhance the experience of using Rent the Runway.,Posted19 days ago,2022-05-05
141,Senior UX Designer/Researcher,Rightway,"Remote in New York, NY",N/A,"5+ years of solid work experience with job roles such as design researcher, UX designer, service designer, or interaction designer, including work on both…",Posted30+ days ago,2022-05-05
142,Research Program Manager,Valley National Bank,"New York, NY 10010 (Flatiron area)",N/A,"The Research Program Manager will support the team throughout the research life cycle, including scheduling, recruiting efforts, streamlining research…",Posted30+ days ago,2022-05-05
143,new,Wrapbook,"Remote in New York, NY",N/A,This is the role for you if you are a talented customer-obsessed user experience Researcher who wants to build and grow a program to help Wrapbook deeply…,PostedToday,2022-05-05
144,"Research Lead, Experience Focus",Rightpoint,"Hybrid remote in New York, NY 10018",N/A,"Our diverse teams lead with empathy, data and creativity—always in service of the experience.
The Experience Research Lead will be responsible for generating…",Posted30+ days ago,2022-05-05
145,Sr Usability Researcher,ACV Auctions,"Buffalo, NY 14203",N/A,The ideal candidate should be an analytical and creative usability researcher who is able to grasp user needs and solve problems.,Posted29 days ago,2022-05-05
146,User Experience Researcher,Interactive Brokers,"New York, NY",N/A,"The position is well-suited for an organized individual who is a curious and critical thinker, a proactive problem solver and a strong communicator.",Posted30+ days ago,2022-05-05
147,Senior UX Researcher,AiCure,"Remote in New York, NY",N/A,"As senior UX researcher reporting to the VP of product management you will conduct meaningful research to reveal what the patients, clinicians and customers we…",Posted30+ days ago,2022-05-05
148,Senior User Researcher,Current,"New York, NY 10011 (Chelsea area)",N/A,"As the first in-house user researcher at Current, you'll play a critical part in establishing the user research function at the company.",Posted30+ days ago,2022-05-05
149,UX Research Manager,Calibrate,"Remote in New York, NY",N/A,"3+ years managing junior, mid, or senior researchers.
Experience hiring, growing, and retaining high-performing researchers.",Posted30+ days ago,2022-05-05
150,User Experience Researcher,Interactive Brokers,"New York, NY",N/A,"The position is well-suited for an organized individual who is a curious and critical thinker, a proactive problem solver and a strong communicator.",Posted30+ days ago,2022-05-05
151,Senior UX Researcher,AiCure,"Remote in New York, NY",N/A,"As senior UX researcher reporting to the VP of product management you will conduct meaningful research to reveal what the patients, clinicians and customers we…",Posted30+ days ago,2022-05-05
152,Senior User Researcher,Current,"New York, NY 10011 (Chelsea area)",N/A,"As the first in-house user researcher at Current, you'll play a critical part in establishing the user research function at the company.",Posted30+ days ago,2022-05-05
153,UX Research Manager,Calibrate,"Remote in New York, NY",N/A,"3+ years managing junior, mid, or senior researchers.
Experience hiring, growing, and retaining high-performing researchers.",Posted30+ days ago,2022-05-05
154,"UX Research, Manager (Remote)",Andela,"Remote in New York, NY",N/A,"Design and lead research life-cycle from the beginning to end.
Proactively communicate findings and recommendations that will better define customer and user…",Posted30+ days ago,2022-05-05
155,Web/UX Manager,Mach9 LLC,"New York, NY",N/A,"As Head of Web/UX, you will oversee the execution of Web, UX and Design streams, providing strategic leadership in UI/UX experiences for clients in regulated…",Posted8 days ago,2022-05-05
156,UX Analyst,The Arena Group,"Remote in New York, NY",N/A,"In this role you will adapt to the company's business model, and deliver product solutions that combine qualitative insights with web analytics, quantitative…",Posted30+ days ago,2022-05-05
157,UX Research Senior Manager,FanDuel,"New York, NY",N/A,"FanDuel Group is based in New York, with offices in California, New Jersey, Florida, Oregon and Scotland.
You'll own large, highly-strategic people management…",Posted30+ days ago,2022-05-05
158,Senior User Researcher,Snappy,"Remote in New York, NY",N/A,"This role will help us learn about our current and potential customers, how to bring their needs to existing and new product initiatives, identify opportunities…",Posted30+ days ago,2022-05-05
159,"Director, UX Research",BEGiN,"Remote in New York, NY 10027",N/A,"At least 1 year managing multiple researchers.
This role will report into our New York City or Los Angeles office or can be based remotely within select US…",Posted30+ days ago,2022-05-05
160,User Researcher,OnePlus North America,"New York, NY",N/A,"You will be a maker, thinker, and strategist on next generation of software.
Plan and lead end-to-end research project throughout all phases of the product…",Posted16 days ago,2022-05-05
161,Senior UX Researcher,Peloton,"New York, NY 10011 (Chelsea area)+1 location",N/A,"This Sr. UX Researcher will collaborate with Research, Product and Design teams to enhance the quality of the web acquisition experience in meaningful and…",Posted30+ days ago,2022-05-05
162,Senior UX Researcher,"Bluecore, Inc.","Remote in New York, NY 10002",N/A,"Own the research from end to end.
Propose, design and conduct research projects to inform product discovery and to evaluate designs.",Posted30+ days ago,2022-05-05
163,UX Research Operations Lead,MongoDB,"Remote in New York, NY 10019",N/A,"In this new role you'll partner with our UX Research Lead to mature the research org.
You'll create alignment across research activities by developing common…",Posted30+ days ago,2022-05-05
164,"Research Lead/Associate Director, Experience Focus",Rightpoint,"Hybrid remote in New York, NY 10018",N/A,"Our diverse teams lead with empathy, data and creativity—always in service of the experience.
They should be naturally curious, with a passion for the ever…",Posted30+ days ago,2022-05-05
165,"Senior UX Researcher - Client Experience - Remote (US), Hybr...",Multiverse,"Remote in New York, NY",N/A,"With this in mind, you will help drive a user-driven product roadmap, providing valuable insight into complex problems across our products.",Posted30+ days ago,2022-05-05
166,UX Research Specialist,Altice USA,"Bethpage, NY 11714",N/A,Altice's Product UX/UI team is seeking an UX Researcher who'll work with our design team and product owners to ensure that our customers and other internal…,Posted30+ days ago,2022-05-05
